intent,entity,answer
which_answer,exercicios,"Os melhores exercícios para serem praticados na gravidez são: 
- Caminhada
- Pilates
- Alongamentos
- Hidroginástica. 
No entanto, só devem ser realizados sob orientação médica pois em alguns casos, como gravidez de risco, nenhum tipo de atividade física é permitida."
which_answer,alimentos,"Durante a gestação, alguns nutrientes não podem faltar na alimentação como:
- Proteínas: carnes e ovos
- Carboidrato: cereais, massas e pães, de preferencia integrais
- Cálcio: Vegetais verde-escuros, leites e derivados e cereais integrais
- Ferro: carnes, leguminosas e vegetais verde-escuros
- Ácido fólico: frutas, carnes, ovos, leguminosas e vegetais verde-escuros"
which_not_answer,exercicios,"No geral, exercícios de grande impacto não devem ser realizados na gravidez pois podem prejudicar a saúde da mãe e do bebê. Alguns exemplos são: 
- Exercícios abdominais
- Esportes de lutas
- Musculação pesada
- Corrida
- Jogos com bola como futebol, vôlei, basquete"
which_not_answer,alimentos,"Durante a gravidez, algumas substâncias presentes nos alimentos podem causar problemas para o feto e para a gestação em si. Por isso, é bom evitar:
- Ovos crus
- Leites e queijos não pasteurizados
- Frutas e vegetais mal lavados
- Peixes crus e carnes mal passadas
- Café
- Bebidas alcoólicas"
what_answer,pre natal,"O acompanhamento pré-natal é um conjunto de exames realizados durante a gestação que possibilitam que a mulher faça um acompanhamento detalhado da sua saúde e do bebê. É de extrema importância, pois ajuda a prevenir diversas doenças e complicações que podem trazer inclusive o parto prematuro e o aborto."
what_answer,puerperio,"O puerpério é o período de 42 dias a oito semanas após o parto que demora para que o corpo da mulher retorne à forma anterior à gestação. O período também é marcado por mudanças emocionais. A exceção são as mamas, que, devido à amamentação, atingem seu desenvolvimento completo no puerpério e não voltam a como eram antes da gravidez."
what_answer,loquio,"O lóquio é o sangramento que ocorre no pós-parto e é semelhante a menstruação. 
Nas primeiras 24 horas, o lóquio é um pouco mais intenso que uma menstruação. Contudo, a partir desse momento o fluxo vai diminuindo até que fique como um corrimento. O tempo de duração do lóquio varia. Se a mulher amamenta vai demorar menos tempo, mas se não amamenta, pode ocorrer por até um mês."
can_answer,varizes,"Cirurgias para dar cabo das veias saltadas não são indicadas nessa fase. O mais recomendado é você deixar as pernas levantadas por alguns minutos, usar meias elásticas de compressão (apenas no frio), evitar ficar muito tempo parada em pé ou sentada e fazer caminhadas regulares."
can_answer,unhas,"Você pode tanto pintar as unhas como também remover a cutícula. O único cuidado é em relação à higiene dos acessórios de manicure. O ideal é que você tenha seu próprio kit de tesoura e alicate para fornecê-lo à profissional. Isso evita possíveis contaminações. Ou, então, escolha um estabelecimento que tenha rígidos procedimentos de esterilização do material."
can_answer,depilacao,"Você pode se depilar com lâmina e com cera. A chamada depilação a laser não é recomendada, por precaução, já que não são feitos testes em gestantes."
can_answer,cabelo,"Somente a partir do quarto mês de gestação. Pois não sabemos se a tinta pode ser absorvida pelo couro cabeludo da mãe, e o início da gestação é uma fase crítica de formação do feto. Só lembrando que escova progressiva, alisamentos e permanentes nos cabelos estão proibidos ao longo de todo o período."
can_answer,descolorir,"Evite descolori-los. Não há garantias de que as substâncias químicas usadas no processo não penetrem na pele e, assim, ofereçam riscos ao bebê."
can_answer,moto,"Não há nenhuma contraindicação formal. Mas lembre-se que os acidentes de moto são relativamente comuns e uma queda pode colocar a vida do bebê em risco, portanto procure evitar."
can_answer,cavalo,"Assim como a moto, andar a cavalo pode não ser uma boa ideia, pois qualquer queda pode prejudicar você e o bebê."
can_answer,bicicleta,Você pode andar de bicicleta desde que o seu médico tenha liberado e você já esteja habituada ao exercício. Não esqueça de beber bastante água e usar os equipamentos de proteção.
can_answer,laxante,"O ideal é adicionar à dieta alimentos ricos em fibras para melhorar o trânsito intestinal, como frutas e cereais integrais. Se ainda assim o intestino continuar preso, consulte o seu médico e veja com ele se é possível ele te indicar um laxante permitido para gestante."
can_answer,banheira,"Desde que a temperatura da água esteja morninha, até uns 38°C. Nos primeiros três meses de gestação, a hipertermia (excesso de calor) pode causar malformações no feto. Já a partir do segundo trimestre, é comum a sua pressão cair, o ambiente muito quente pode contribuir para uma pressão ainda mais baixa, o que pode diminuir o fluxo de sangue para o bebê ou te fazer desmaiar."
can_answer,sauna,"Não, devido à alta temperatura nesse ambiente, fazer sauna é desaconselhado para prevenir problemas como queda de pressão, desmaio e enjoo."
can_answer,pimenta,"Desde que não te provoque azia ou outro desconforto gástrico, não há problema algum."
can_answer,café,"Você pode tomar mas com muita moderação, uma ou duas xícaras pequenas por dia. Isso porque a cafeína piora os sintomas de queimação no estômago, algo comum entre várias gestantes, além de ser muito estimulante."
can_answer,sol,"Você pode tomar sol desde que seja antes das 10 horas ou depois das 16 horas e sempre com um protetor solar com FPS maior que 30. Durante a gestação, você tem um risco maior de ficar com manchas tanto na face como na barriga."
can_answer,hidratante,"Escolha sempre por produtos exclusivos para gestantes, pois alguns ativos de hidratantes comuns são proibidos durante a gestação."
can_answer,viajar,"Então, até o sétimo mês, as viagens podem ser realizadas mas com algumas precauções. Por exemplo, no carro, procure parar a cada uma hora para esticar as pernas.
Se for viajar de avião, procure caminhar pelo corredor da aeronave sempre que der e beba bastante líquido para não se desidratar. Já no oitavo mês, é necessário atestado médico para embarcar. E, no nono, é melhor não fazer nenhuma viagem, nem de carro."
can_answer,escada,"Sim, mas você deve ficar atenta para não ficar ofegante na subida e, na descida, não se desequilibrar."
