intent,answer
ask_main_exams_prenatal,"Os principais exames feitos no pré-natal são:
- Fezes para pesquisa de verminoses
- Sangue
- Urina
- Ultrassonografia intravaginal
- Ultrassonografia da translucência nucal
- Triagem de diabetes gestacional
- Triagem de estreptococo beta-hermolitico
- Ultrassonografia do 3º trimestre
Se quiser saber mais sobre algum exame em especifico é só me perguntar :)"
ask_allowed_exercises,"Os melhores exercícios para serem praticados na gravidez são: 
- Caminhada
- Pilates
- Alongamentos
- Hidroginástica. 
No entanto, só devem ser realizados sob orientação médica pois em alguns casos, como gravidez de risco, nenhum tipo de atividade física é permitida."
ask_allowed_depilation,"Você pode se depilar com lâmina e com cera. A chamada depilação a laser não é recomendada, por precaução, já que não são feitos testes em gestantes."
ask_needed_feed,"Durante a gestação, alguns nutrientes não podem faltar na alimentação como:
- Proteínas: carnes e ovos (as gestantes veganas e vegetarianas devem buscar ajuda de um nutricionista para compensar adequadamente as necessidades de ferro e proteína da gestação)
- Carboidrato: cereais, massas e pães, de preferencia integrais
- Cálcio: Vegetais verde-escuros, leites e derivados e cereais integrais
- Ferro: carnes, leguminosas e vegetais verde-escuros
- Ácido fólico: frutas, carnes, ovos, leguminosas e vegetais verde-escuros"
ask_needed_vaccine,"Você pode tomar a vacina da gripe, da difteria, tétano e coqueluche acelular e a vacina da hepatite B. Estas vacinas protegem você e o bebê, já que os anticorpos que constituem a vacina, passam para o bebê através do cordão umbilical.
Existem outras situações em que você pode tomar vacina, como quando corre elevado risco de contrair uma doença. Mas nestes casos, o seu médico irá te indicar quais vacinas tomar.
Sempre comunique o estado de gravidez ao fazer uma vacina."
ask_signs_labor,"Os sinais variam muito mas podem começar com dores na região lombar que se irradiam para o abdômen, deixando a barriga dura mais ou menos a cada meia hora – são as famosas contrações. Se você sentir duas contrações de 40 segundos a um minuto e meio no período de dez minutos aí pode ser que você esteja entrando mesmo em trabalho de parto. Em alguns casos, o trabalho de parto se anuncia com um discreto sangramento genital ou ainda com a rotura da bolsa. Outro sinal importante é a dilatação do colo uterino acima de 2 centímetros, mas isso só o seu médico pode observar."
ask_ideal_weight,"Isso depende de como você estava antes de engravidar. Se você tinha o índice de massa corporal (IMC) normal pode ganhar em média 12kg até o parto. Já se você estava com sobrepeso, deve ganhar no máximo uns 9kg."
ask_best_sleeping_position,A melhor posição para dormir é virada para o lado esquerdo. Assim você não comprime a veia cava e garante uma boa circulação e oxigenação tanto para você quanto para o bebê.
ask_best_childbirth,"Em condições normais, o parto normal é sempre a melhor opção. A recuperação é mais rápida, o leite geralmente desce mais cedo, o bebê entra em contato com bactérias que vão lhe conferir maior imunidade e há menos riscos. Já a cesárea é uma cirurgia que pode salvar vidas quando corretamente indicada. Porém há uma perda sanguínea três vezes maior, risco de infecção, dores no pós-parto e a cicatriz."
ask_cases_forceps,"Normalmente é utilizado quando o bebê está posicionado corretamente e quase saindo, mas fica preso no canal de parto, sem dar sinais de qualquer avanço. Também se utiliza esta técnica quando a mãe está exausta e sem forças para continuar até ao final do parto, como aquelas que apresentam contrações muito fracas.

Antes de utilizar o fórceps, a bolsa deve ter estourado, o colo do útero deve estar completamente dilatado e a cabeça do bebê deveria estar totalmente encaixada num ponto próximo da abertura vaginal, pronta para sair."
